날짜,시도지역코드,발생건수(건)
20150202,30,1497
20150202,31,833
20150202,41,10581
20150202,42,1525
20150202,43,1626
20150202,44,2165
20150202,45,2443
20150202,46,1932
20150202,47,2955
20150202,48,3287
20150202,49,632
20150202,99,47964
20150203,11,7540
20150203,26,2610
20150203,27,2099
20150203,28,1669
20150203,29,891
20150203,30,1194
20150203,31,683
20150203,41,8372
20150203,42,1256
20150203,43,1219
20150203,44,1669
20150203,45,1822
20150203,46,1430
20150203,47,2329
20150203,48,2526
20150203,49,525
20150203,99,37848
20150204,11,7151
20150204,26,2397
20150204,27,1940
20150204,28,1637
20150204,29,896
20150204,30,1183
20150204,31,670
20150204,41,7951
20150204,42,1127
20150204,43,1241
20150204,44,1648
20150204,45,1594
20150204,46,1331
20150204,47,2271
20150204,48,2477
20150204,49,392
20150204,99,35914
20150205,11,6937
20150205,26,2544
20150205,27,1872
20150205,28,1477
20150205,29,809
20150205,30,1070
20150205,31,623
20150205,41,7688
20150205,42,1087
20150205,43,1179
20150205,44,1579
20150205,45,1734
20150205,46,1347
20150205,47,2208
20150205,48,2337
20150205,49,475
20150205,99,34977
20150206,11,7631
20150206,26,2653
20150206,27,2010
20150206,28,1753
20150206,29,893
20150206,30,1247
20150206,31,683
20150206,41,8542
20150206,42,1230
20150206,43,1333
20150206,44,1784
20150206,45,1842
20150206,46,1496
20150206,47,2483
20150206,48,2642
20150206,49,519
20150206,99,38747
20150207,11,5617
20150207,26,1819
20150207,27,1653
20150207,28,1262
20150207,29,760
20150207,30,961
20150207,31,548
20150207,41,6540
20150207,42,780
20150207,43,1043
20150207,44,1282
20150207,45,1287
20150207,46,1047
20150207,47,1746
20150207,48,1953
20150207,49,368
20150207,99,28673
20150208,11,239
20150208,26,72
20150208,27,63
20150208,28,49
20150208,29,61
20150208,30,53
20150208,31,32
20150208,41,373
20150208,42,25
20150208,43,62
20150208,44,65
20150208,45,52
20150208,46,63
20150208,47,51
20150208,48,69
20150208,49,36
20150208,99,1365
20150209,11,8134
20150209,26,3116
20150209,27,2391
20150209,28,1851
20150209,29,1098
20150209,30,1409
20150209,31,784
20150209,41,9449
20150209,42,1344
20150209,43,1455
20150209,44,1968
20150209,45,2075
20150209,46,1703
20150209,47,2728
20150209,48,3002
20150209,49,583
20150209,99,43094
20150210,11,7164
20150210,26,2621
20150210,27,2057
20150210,28,1586
20150210,29,924
20150210,30,1189
20150210,31,666
20150210,41,8072
20150210,42,1212
20150210,43,1282
20150210,44,1660
20150210,45,1767
20150210,46,1429
20150210,47,2344
20150210,48,2502
20150210,49,521
20150210,99,37002
20150211,11,7155
20150211,26,2490
20150211,27,2101
20150211,28,1611
20150211,29,894
20150211,30,1182
20150211,31,710
20150211,41,8026
20150211,42,1120
20150211,43,1201
20150211,44,1602
20150211,45,1808
20150211,46,1371
20150211,47,2345
20150211,48,2430
20150211,49,487
20150211,99,36544
20150212,11,6897
20150212,26,2517
20150212,27,1959
20150212,28,1502
20150212,29,865
20150212,30,1178
20150212,31,670
20150212,41,7905
20150212,42,1230
20150212,43,1199
20150212,44,1601
20150212,45,1728
20150212,46,1341
20150212,47,2389
20150212,48,2385
20150212,49,488
20150212,99,35865
20150213,11,7782
20150213,26,2806
20150213,27,2186
20150213,28,1755
20150213,29,939
20150213,30,1257
20150213,31,691
20150213,41,8846
20150213,42,1264
20150213,43,1358
20150213,44,1706
20150213,45,1856
