날짜,시도지역코드,발생건수(건)
20140331,44,2786
20140331,45,2658
20140331,46,2889
20140331,47,3634
20140331,48,4516
20140331,49,758
20140331,99,60670
20140401,11,6853
20140401,26,3227
20140401,27,2600
20140401,28,2592
20140401,29,1750
20140401,30,1323
20140401,31,1129
20140401,41,9815
20140401,42,1249
20140401,43,1453
20140401,44,2121
20140401,45,2090
20140401,46,2394
20140401,47,2780
20140401,48,3495
20140401,49,508
20140401,99,45400
20140402,11,7236
20140402,26,2819
20140402,27,2462
20140402,28,2490
20140402,29,1555
20140402,30,1265
20140402,31,1108
20140402,41,9654
20140402,42,1094
20140402,43,1396
20140402,44,2047
20140402,45,1907
20140402,46,2171
20140402,47,2612
20140402,48,3188
20140402,49,478
20140402,99,43497
20140403,11,6700
20140403,26,2873
20140403,27,2441
20140403,28,2707
20140403,29,1765
20140403,30,1164
20140403,31,1060
20140403,41,9534
20140403,42,1106
20140403,43,1450
20140403,44,2024
20140403,45,1933
20140403,46,2215
20140403,47,2772
20140403,48,3349
20140403,49,543
20140403,99,43659
20140404,11,7865
20140404,26,3211
20140404,27,2859
20140404,28,2859
20140404,29,1905
